time,discharge,hotspot
June 2003,0.34249735,Greece
July 2003,0.104142904,Greece
August 2003,0.2705245,Greece
September 2003,-0.16054344,Greece
October 2003,1.4394226,Greece
November 2003,-1.4320576,Greece
December 2003,-0.655251,Greece
January 2004,0.35357285,Greece
February 2004,-1.4058118,Greece
March 2004,-1.039341,Greece
April 2004,-1.3014874,Greece
May 2004,-0.7179184,Greece
June 2004,1.1164036,Greece
July 2004,-0.29370594,Greece
August 2004,-0.09035897,Greece
September 2004,-0.4261111,Greece
October 2004,-0.5359249,Greece
November 2004,-0.62234783,Greece
December 2004,-1.5862021,Greece
January 2005,-1.2281466,Greece
February 2005,1.9255228,Greece
March 2005,1.8332977,Greece
April 2005,-0.0049962997,Greece
May 2005,0.50878716,Greece
June 2005,0.4799013,Greece
July 2005,1.5966413,Greece
August 2005,1.2995903,Greece
September 2005,0.82344985,Greece
October 2005,-0.053117752,Greece
November 2005,0.052965164,Greece
December 2005,1.9957123,Greece
January 2006,2.5355816,Greece
February 2006,2.5560017,Greece
March 2006,4.3264656,Greece
April 2006,2.6475186,Greece
May 2006,0.4788475,Greece
June 2006,0.99029064,Greece
July 2006,1.0995245,Greece
August 2006,0.39805007,Greece
September 2006,0.8547847,Greece
October 2006,0.59398127,Greece
November 2006,-1.4292276,Greece
December 2006,-3.7577982,Greece
January 2007,-4.1854935,Greece
February 2007,-4.484792,Greece
March 2007,-3.8284812,Greece
April 2007,-3.5804949,Greece
May 2007,-0.920908,Greece
June 2007,-0.36972332,Greece
July 2007,-1.414087,Greece
August 2007,0.07177544,Greece
September 2007,-0.011059284,Greece
October 2007,0.41983747,Greece
November 2007,3.1979914,Greece
December 2007,0.17662477,Greece
January 2008,-1.1355233,Greece
February 2008,-3.1474056,Greece
March 2008,-3.4536753,Greece
April 2008,-1.7794089,Greece
May 2008,-2.2450876,Greece
June 2008,-1.2165701,Greece
July 2008,-0.94878256,Greece
