Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_3;0.3379;0.0337;10.0292;0.0;***;Chile
alpha_4;-0.5973;0.0509;-11.7443;0.0;***;Chile
alpha_5;-0.2436;0.0255;-9.567;0.0;***;Chile
alpha_6;-0.1487;0.0456;-3.2605;0.0015;***;Chile
alpha_7;0.5944;0.0292;20.3385;0.0;***;Chile
alpha_8;-0.2106;0.0611;-3.4469;0.0008;***;Chile
alpha_9;-0.1033;0.035;-2.9487;0.0039;***;Chile
alpha_10;0.3095;0.0584;5.3038;0.0;***;Chile
alpha_11;0.009;0.0906;0.0995;0.9209;;Chile
alpha_12;0.4145;0.0452;9.1739;0.0;***;Chile
alpha_13;0.6913;0.0427;16.2032;0.0;***;Chile
alpha_14;0.8473;0.003;285.0545;0.0;***;Chile
alpha_15;0.2559;0.0296;8.6521;0.0;***;Chile
alpha_16;1.2036;0.0577;20.843;0.0;***;Chile
alpha_17;-0.4887;0.0547;-8.9397;0.0;***;Chile
alpha_18;0.4266;0.0341;12.4916;0.0;***;Chile
alpha_19;0.333;0.0245;13.5962;0.0;***;Chile
alpha_20;0.5703;0.0692;8.2475;0.0;***;Chile
alpha_21;0.6755;0.0648;10.4183;0.0;***;Chile
alpha_0;0.1542;0.0603;2.5576;0.0119;**;Iran
alpha_1;1.2685;0.0453;28.0292;0.0;***;Iran
alpha_2;0.7506;0.066;11.366;0.0;***;Iran
alpha_3;0.2392;0.033;7.2568;0.0;***;Iran
alpha_4;0.165;0.0445;3.7047;0.0003;***;Iran
alpha_5;0.1707;0.0433;3.9418;0.0001;***;Iran
alpha_6;-0.0597;0.0411;-1.4542;0.1488;;Iran
alpha_7;-0.3453;0.0186;-18.5444;0.0;***;Iran
alpha_8;0.1303;0.0356;3.6647;0.0004;***;Iran
alpha_9;0.1358;0.0555;2.4462;0.0161;**;Iran
alpha_10;0.3313;0.0835;3.9683;0.0001;***;Iran
alpha_11;0.348;0.0944;3.6875;0.0004;***;Iran
alpha_12;0.6234;0.0765;8.1522;0.0;***;Iran
alpha_13;0.4142;0.0542;7.6461;0.0;***;Iran
alpha_14;0.7901;0.0055;143.2555;0.0;***;Iran
alpha_15;0.7036;0.0537;13.1096;0.0;***;Iran
alpha_16;-0.506;0.1156;-4.3774;0.0;***;Iran
alpha_17;-0.1517;0.0492;-3.0838;0.0026;***;Iran
